iter	Passed	Remaining
0	49	59648
1	95	57384
2	144	57656
3	190	57018
4	239	57148
5	288	57324
6	336	57318
7	383	57210
8	432	57228
9	480	57174
10	528	57163
11	578	57263
12	626	57217
13	675	57230
14	723	57133
15	772	57135
16	816	56852
17	863	56691
18	912	56704
19	958	56536
20	1005	56429
21	1054	56453
22	1104	56538
23	1152	56490
24	1203	56545
25	1250	56442
26	1299	56460
27	1344	56265
28	1393	56258
29	1444	56341
30	1495	56390
31	1543	56320
32	1591	56276
33	1638	56182
34	1686	56122
35	1732	56031
36	1784	56080
37	1834	56107
38	1884	56094
39	1935	56138
40	1984	56091
41	2031	56000
42	2076	55873
43	2123	55795
44	2171	55735
45	2224	55809
46	2273	55771
47	2321	55720
48	2373	55749
49	2421	55684
50	2469	55643
51	2519	55633
52	2570	55624
53	2616	55533
54	2664	55461
55	2711	55399
56	2761	55370
57	2807	55282
58	2855	55229
59	2903	55167
60	2951	55115
61	2999	55048
62	3049	55031
63	3097	54986
64	3149	55002
65	3199	54966
66	3251	54979
67	3298	54907
68	3347	54871
69	3399	54878
70	3456	54970
71	3507	54943
72	3556	54904
73	3606	54881
74	3655	54831
75	3704	54792
76	3755	54765
77	3803	54713
78	3852	54671
79	3901	54621
80	3951	54591
81	3998	54519
82	4047	54469
83	4097	54432
84	4145	54384
85	4194	54337
86	4244	54296
87	4293	54255
88	4343	54215
89	4392	54169
90	4442	54134
91	4490	54081
92	4537	54013
93	4585	53953
94	4646	54045
95	4706	54122
96	4755	54080
97	4809	54076
98	4862	54080
99	4916	54080
100	4974	54124
101	5026	54110
102	5080	54111
103	5128	54051
104	5179	54012
105	5227	53949
106	5273	53871
107	5321	53807
108	5371	53760
109	5417	53681
110	5467	53638
111	5516	53590
112	5565	53539
113	5610	53449
114	5656	53366
115	5703	53296
116	5753	53253
117	5800	53189
118	5850	53145
119	5899	53096
120	5947	53034
121	5993	52960
122	6041	52903
123	6091	52855
124	6139	52795
125	6186	52734
126	6233	52664
127	6282	52612
128	6329	52550
129	6377	52488
130	6421	52400
131	6468	52333
132	6517	52289
133	6563	52214
134	6609	52144
135	6656	52075
136	6703	52013
137	6750	51949
138	6796	51875
139	6845	51828
140	6895	51786
141	6943	51730
142	6988	51658
143	7035	51594
144	7084	51545
145	7132	51493
146	7180	51433
147	7226	51368
148	7274	51314
149	7322	51256
150	7369	51196
151	7417	51140
152	7465	51085
153	7511	51016
154	7562	50987
155	7608	50919
156	7656	50863
157	7704	50810
158	7751	50753
159	7798	50690
160	7848	50647
161	7897	50600
162	7945	50548
163	7991	50483
164	8041	50441
165	8087	50379
166	8135	50321
167	8184	50275
168	8232	50221
169	8281	50175
170	8330	50126
171	8379	50079
172	8424	50014
173	8470	49947
174	8527	49949
175	8575	49891
176	8621	49832
177	8667	49762
178	8716	49716
179	8764	49664
180	8812	49613
181	8859	49556
182	8905	49493
183	8952	49430
184	9001	49385
185	9047	49324
186	9093	49262
187	9141	49209
188	9187	49146
189	9236	49097
190	9282	49039
191	9328	48975
192	9376	48921
193	9424	48869
194	9475	48837
195	9527	48802
196	9574	48747
197	9621	48690
198	9668	48632
199	9715	48576
200	9762	48522
201	9809	48465
202	9855	48405
203	9907	48371
204	9954	48316
205	10000	48255
206	10047	48197
207	10094	48142
208	10143	48095
209	10192	48050
210	10242	48006
211	10292	47968
212	10340	47915
213	10389	47870
214	10436	47815
215	10484	47764
216	10533	47718
217	10581	47665
218	10629	47614
219	10679	47573
220	10726	47515
221	10772	47456
222	10823	47418
223	10872	47371
224	10921	47325
225	10970	47279
226	11015	47218
227	11065	47175
228	11114	47127
229	11163	47080
230	11211	47028
231	11258	46976
232	11306	46924
233	11354	46875
234	11403	46825
235	11451	46777
236	11499	46726
237	11549	46684
238	11603	46654
239	11649	46596
240	11698	46552
241	11746	46500
242	11795	46452
243	11842	46398
244	11891	46350
245	11940	46305
246	11988	46256
247	12037	46207
248	12084	46153
249	12131	46098
250	12178	46045
251	12227	45998
252	12276	45952
253	12325	45906
254	12372	45852
255	12423	45810
256	12471	45762
257	12518	45707
258	12570	45670
259	12619	45622
260	12668	45578
261	12714	45521
262	12764	45474
263	12816	45440
264	12865	45392
265	12911	45336
266	12959	45286
267	13006	45232
268	13053	45178
269	13102	45132
270	13160	45113
271	13212	45078
272	13265	45042
273	13326	45036
274	13376	44995
275	13424	44942
276	13474	44900
277	13528	44867
278	13579	44827
279	13627	44775
280	13675	44726
281	13723	44674
282	13769	44616
283	13817	44565
284	13865	44514
285	13912	44461
286	13960	44411
287	14010	44366
288	14067	44342
289	14117	44298
290	14170	44265
291	14223	44228
292	14282	44210
293	14336	44180
294	14392	44152
295	14466	44182
296	14521	44149
297	14566	44090
298	14621	44061
299	14678	44034
300	14733	44005
301	14786	43968
302	14846	43951
303	14898	43912
304	14953	43880
305	15007	43844
306	15064	43818
307	15119	43786
308	15169	43740
309	15221	43699
310	15275	43664
311	15326	43621
312	15379	43584
313	15433	43547
314	15487	43511
315	15537	43466
316	15592	43432
317	15645	43395
318	15700	43361
319	15755	43326
320	15805	43279
321	15852	43226
322	15910	43199
323	15966	43168
324	16013	43112
325	16061	43061
326	16111	43012
327	16158	42958
328	16208	42911
329	16261	42870
330	16310	42821
331	16364	42784
332	16414	42736
333	16473	42712
334	16523	42665
335	16582	42641
336	16633	42596
337	16682	42544
338	16729	42488
339	16776	42434
340	16829	42393
341	16883	42356
342	16931	42305
343	16978	42249
344	17027	42198
345	17075	42145
346	17123	42092
347	17171	42041
348	17219	41987
349	17265	41931
350	17316	41886
351	17368	41841
352	17423	41806
353	17478	41769
354	17532	41731
355	17581	41681
356	17629	41630
357	17677	41577
358	17726	41525
359	17773	41471
360	17821	41419
361	17870	41368
362	17916	41312
363	17965	41262
364	18016	41216
365	18063	41160
366	18108	41102
367	18158	41054
368	18209	41008
369	18262	40967
370	18318	40932
371	18368	40885
372	18417	40835
373	18465	40783
374	18516	40735
375	18563	40681
376	18611	40630
377	18660	40578
378	18708	40527
379	18759	40480
380	18807	40429
381	18857	40381
382	18905	40329
383	18955	40280
384	19003	40227
385	19051	40175
386	19097	40120
387	19146	40069
388	19194	40017
389	19243	39967
390	19290	39913
391	19341	39867
392	19389	39815
393	19436	39761
394	19486	39713
395	19535	39662
396	19584	39612
397	19634	39565
398	19685	39519
399	19734	39469
400	19784	39420
401	19830	39365
402	19876	39310
403	19927	39263
404	19976	39213
405	20024	39161
406	20073	39110
407	20120	39056
408	20169	39006
409	20216	38953
410	20264	38902
411	20310	38846
412	20357	38793
413	20404	38739
414	20453	38689
415	20501	38637
416	20549	38586
417	20598	38535
418	20645	38483
419	20694	38432
420	20743	38382
421	20791	38332
422	20839	38279
423	20887	38227
424	20934	38175
425	20983	38124
426	21030	38072
427	21080	38024
428	21131	37977
429	21178	37924
430	21225	37870
431	21272	37818
432	21321	37768
433	21368	37715
434	21417	37664
435	21465	37613
436	21511	37559
437	21563	37513
438	21613	37467
439	21665	37422
440	21717	37377
441	21765	37326
442	21814	37276
443	21866	37232
444	21920	37190
445	21969	37141
446	22020	37094
447	22069	37045
448	22120	36998
449	22170	36950
450	22220	36902
451	22270	36855
452	22318	36803
453	22367	36753
454	22417	36705
455	22466	36655
456	22512	36601
457	22562	36552
458	22610	36501
459	22658	36449
460	22704	36396
461	22754	36348
462	22806	36302
463	22854	36252
464	22903	36202
465	22952	36152
466	23003	36106
467	23052	36056
468	23103	36009
469	23152	35960
470	23202	35911
471	23260	35877
472	23311	35829
473	23360	35779
474	23407	35727
475	23457	35679
476	23504	35626
477	23553	35576
478	23602	35526
479	23654	35482
480	23704	35434
481	23758	35391
482	23813	35349
483	23865	35305
484	23919	35263
485	23972	35218
486	24026	35176
487	24077	35129
488	24129	35084
489	24176	35031
490	24226	34982
491	24273	34930
492	24320	34877
493	24375	34836
494	24427	34790
495	24479	34745
496	24526	34692
497	24578	34647
498	24629	34599
499	24681	34554
500	24736	34511
501	24789	34468
502	24842	34423
503	24895	34379
504	24947	34333
505	24996	34283
506	25045	34233
507	25100	34191
508	25150	34143
509	25198	34092
510	25247	34042
511	25296	33992
512	25344	33940
513	25395	33893
514	25442	33841
515	25492	33792
516	25543	33745
517	25593	33696
518	25642	33646
519	25693	33598
520	25741	33547
521	25789	33496
522	25839	33448
523	25887	33397
524	25939	33351
525	25987	33299
526	26067	33289
527	26116	33239
528	26166	33189
529	26218	33144
530	26269	33097
531	26319	33048
532	26369	32999
533	26418	32948
534	26466	32898
535	26517	32849
536	26565	32798
537	26613	32747
538	26660	32694
539	26711	32647
540	26761	32599
541	26811	32549
542	26866	32506
543	26919	32461
544	26974	32419
545	27032	32379
546	27086	32334
547	27138	32288
548	27191	32243
549	27240	32193
550	27288	32141
551	27336	32090
552	27386	32041
553	27435	31991
554	27482	31939
555	27531	31889
556	27579	31837
557	27628	31787
558	27675	31735
559	27724	31685
560	27772	31633
561	27822	31585
562	27870	31533
563	27922	31486
564	27970	31435
565	28019	31385
566	28067	31334
567	28117	31285
568	28171	31240
569	28226	31198
570	28281	31154
571	28331	31105
572	28379	31054
573	28430	31006
574	28483	30959
